town,n,mv_sum,netcon,median_sales,median_ass,mad,mean,weighted,prd,cod,descr,tax_year,tri
24,706,197241655,208986006,1,10,0.22,1.006,0.94,1.07,20.42,Niles,2010,2
25,712,335039489,356767427,1,10,0.15,0.999,0.94,1.06,15.78,Northfield,2010,2
26,31,11567413,12022500,1,10,0.26,1,0.96,1.04,16.39,Leyden,2010,2
29,691,194300473,199431971,1,10,0.14,1,0.97,1.03,15.05,Palatine,2010,2
38,925,242782857,248642800,1,10,0.16,1.024,0.98,1.05,16.43,Wheeling,2010,2
17,546,209387404,225613775,0.98,9.8,0.16,0.975,0.93,1.05,18.32,Evanston,2010,2
35,631,137212699,141152300,0.98,9.8,0.15,0.997,0.97,1.03,14.22,Schaumberg,2010,2
23,655,546505739,626005638,0.96,9.6,0.16,0.944,0.87,1.08,19.74,New Trier,2010,2
18,768,146220952,149586792,1,10,0.15,1.005,0.98,1.03,13.59,Hanover,2013,2
16,631,136005438,142253280,0.98,9.8,0.17,0.984,0.96,1.03,15.07,Elk Grove,2013,2
29,1210,328900882,348424936,0.95,9.5,0.13,0.962,0.94,1.02,13.38,Palatine,2013,2
10,168,97189157,107173776,0.94,9.4,0.15,0.952,0.91,1.05,16.4,Barrington,2013,2
35,1065,213235438,228184812,0.94,9.4,0.14,0.957,0.93,1.02,13.31,Schaumberg,2013,2
38,1705,394310034,442277411,0.92,9.2,0.14,0.92,0.89,1.03,14.21,Wheeling,2013,2
71,190,58448811,66510954,0.92,9.2,0.2,0.934,0.88,1.06,18.27,UNK,2013,2
22,996,215484681,242898222,0.91,9.1,0.18,0.932,0.89,1.05,17.66,Maine,2013,2
24,400,98147727,115331042,0.91,9.1,0.16,0.894,0.85,1.05,17.68,Niles,2013,2
25,1157,485032093,575300842,0.87,8.7,0.16,0.874,0.84,1.04,15.83,Northfield,2013,2
23,929,687051837,827833091,0.86,8.6,0.18,0.855,0.83,1.03,18,New Trier,2013,2
17,314,116965905,146474555,0.84,8.4,0.21,0.863,0.8,1.08,20.2,Evanston,2013,2
19,257,57643032,109551279,0.56,8.9,0.08,0.542,0.53,1.03,13.12,Lemont,2005,3
32,1387,144672061,269479139,0.56,8.9,0.08,0.552,0.54,1.03,12.79,Rich,2005,3
11,853,122286838,224564919,0.55,8.7,0.06,0.551,0.54,1.01,10.17,Berwyn,2005,3
34,235,48470593,91545313,0.55,8.8,0.08,0.544,0.53,1.03,13.21,Riverside,2005,3
12,1359,111828735,213179005,0.54,8.6,0.08,0.527,0.52,1,14.12,Bloom,2005,3
14,246,17108382,33847263,0.54,8.6,0.11,0.53,0.51,1.05,16.14,Calumet,2005,3
27,963,184532404,342236950,0.54,8.6,0.08,0.54,0.54,1,11.89,Oak Park,2005,3
28,1557,243717372,461188868,0.54,8.7,0.07,0.535,0.53,1.01,12.08,Orland,2005,3
31,2315,300963675,570887211,0.54,8.7,0.08,0.535,0.53,1.02,12.71,Proviso,2005,3
36,667,80551174,160497344,0.54,8.6,0.09,0.512,0.5,1.02,16.68,Stickney,2005,3
37,2831,203986776,391884582,0.54,8.6,0.09,0.527,0.52,1.01,15.29,Thorton,2005,3
13,1784,170783908,324032660,0.53,8.5,0.07,0.529,0.53,1,12.35,Bremen,2005,3
15,866,103236127,196560083,0.53,8.5,0.07,0.532,0.53,1.01,10.67,Cicero,2005,3
21,1556,293791312,580506105,0.53,8.5,0.09,0.524,0.51,1.04,15.23,Lyons,2005,3
30,848,121237936,234591992,0.52,8.3,0.07,0.517,0.52,1,11.74,Palos,2005,3
33,210,55319987,108010884,0.52,8.4,0.08,0.526,0.51,1.03,13.01,River Forest,2005,3
39,2439,247305054,494862511,0.52,8.2,0.08,0.504,0.5,1.01,14.13,Worth,2005,3
15,96,12771863,18328850,0.74,11.8,0.19,0.728,0.7,1.04,17.95,Cicero,2008,3
11,202,30922135,44728919,0.71,11.4,0.14,0.709,0.69,1.03,15.58,Berwyn,2008,3
